title,question,answers
Edmund_Burke,Who did Parisian women want to return to Paris?,King Louis XVI
Economic_inequality,"When are inequalities in wealth justified, according to John Rawls?",when they improve society as a whole
Galicia_(Spain),What are two reasons for which Galicia's rural areas have been largely abandoned?,Economic development and mechanization of agriculture
Israel,What is one of the most crucial weapons in Israel's military history?,Python air-to-air missile series
Oklahoma,What parts of Oklahoma rarely see below-zero temperatures?,south-central and southeastern
Richard_Feynman,What religious affiliation did Feynman have?,atheist
Detroit,Who won the World Series in 1935?,Tigers
Pub,What are the windows of 1990s and later pubs often made of?,clear glass
Yale_University,Which of the New Critics were staffed at Yale?,"Robert Penn Warren, W.K. Wimsatt, and Cleanth Brooks"
Nutrition,"The debate regarding factors influencing the development of insulin and leptin is not just about how, but also about what other factor?",to what extent
Alexander_Graham_Bell,How many reeds did Bell conclude he needed?,1
Copyright_infringement,"At the time, what infringement could not be prosecuted under criminal copyright law?",non-commercial motives
Northwestern_University,What did the athletic team do with Furpaw after they lost the first season?,banished him from campus forever
Canon_law,Who was responsible for banning canon law education from Oxford and Cambridge?,Henry VIII
University,What type of focus did universities have at the end of the early modern period?,mechanistic
Imamah_(Shia_doctrine),What is forbidden for the Divine Leader?,not to be from the family of Muhammad
Frédéric_Chopin,What did Frédéric compose after hearing Niccolò Paganini perform on the violin?,Souvenir de Paganini
Macintosh,What feature was missing from the final Mac design produced by Smith?,memory slots
Mammal,How much did the first primate weigh?,20–30 grams (0.7–1.1 ounce)
Han_dynasty,Around how many soldiers were in each regiment of the Northern Army?,several thousand soldiers
FA_Cup,How many physical trophies have been presented? ,five physical trophies have been presented
American_Idol,Who saw Popstars while in Australia and wanted Britain to have the same thing?,Nigel Lythgoe
2008_Sichuan_earthquake,The Sangzao school is one of the biggest in what county?,An County
Boston,What college plays an important role in making Boston known for Jazz?,Berklee College of Music
Somalis,In what geographic portion of Kenya can Somali people be found?,northeastern
Zhejiang,What kind of ports are Taizhou and Ningbo?,commercial
Queen_Victoria,Who was to act as regent if George died while Victoria was still a minor?,Duchess of Kent
Lighting,What is the oldest method of interior lighting? ,Daylighting
Sahara,What was the reason for the collapse of the Garamantes   civilization?,depleted available water
Detroit,How many hours did the Unions want the work week to be limited to?,40
Exhibition_game,On what continents have NBA teams played preseason games outside the US?,Europe and Asia
Macintosh,What did the iMac need to use in order to write CDs or other media?,external third-party hardware
Franco-Prussian_War,"Who declared that France would not yield ""an inch of its territory?""",Favre
High-definition_television,What signal did Euro1080 later change to?,DVB-S2
Alfred_North_Whitehead,Who was frustrated in Whitehead's books but still interested?,Mathews
Hellenistic_period,How would people ward off misfortune in Hellenistic times?,charms
Estonia,What are the most common foods in Estonia?,"black bread, pork, potatoes, and dairy products."
Capital_punishment_in_the_United_States,"Along with the guilt-innocence phase, what is the other phase of a death penalty trial under Gregg v. Georgia?",sentencing
Vacuum,Who's equations  helped to imply vanishing of the Ricci tensor?,Einstein
Intellectual_property,Which countries signed ACTA?,"United States, Japan, Switzerland, and the EU"
Guam,How deep is the Mariana Trench located near Guam?,"35,797"
Cotton,How much organic cotton was produced worldwide in 2007?,"265,517 bales"
The_Bronx,"What percent of the Bronx population has a high school diploma, as of 2000?",62.3%
Queen_Victoria,Who thought that Melbourne saw Victoria as if she was his daughter? ,Charles Greville
Queen_Victoria,"Who, in Victoria's court, was accused of having a pregnancy outside of mariage?","one of her mother's ladies-in-waiting, Lady Flora Hastings"
Pope_Paul_VI,Who was Montini's alleged lover?,Paolo Carlini
Adult_contemporary_music,Who wrote Boyz II Men's I'll Make Love to You?,Babyface
Orthodox_Judaism,The sanctiy of human life is known as what?,"""Pikuach Nefesh"""
Post-punk,When was the original punk movement?,1970s
Catalan_language,What kind of words does Catalan have few of?,suppletive couplets
Cubism,Which impressionist movements were also influenced by Cubism?,Les Nabis and the Symbolists
Saint_Helena,Who established a naval station to cut down on African slave trade on the island in 1840?,British
Baptists,What are some controversies that have shaped Baptists?,"""missions crisis"", the ""slavery crisis"", the ""landmark crisis"", and the ""modernist crisis"""
Capital_punishment_in_the_United_States,In what year did Liebman announce his findings?,1996
Oxygen,In what century did Mayow and Boyle perform their experiments?,"['17th', '17th century', 'late 17th century']"
Nintendo_Entertainment_System,What specifically was misrepresented on game products?,artwork
Florida,What did this mean in the 2000 election ,"if the state’s 827,000 disenfranchised felons had voted at the same rate as other Floridians, Democratic candidate Al Gore would have won Florida"
Canadian_football,When did professional teams begin to dominate the Canadian football championship?,1940s and early 1950s
Buddhism,Gautama buddha taught what Path concept?,Noble Eightfold
Mosaic,What proves mosaics were used in the early middle ages?,scant remains
Sumer,"When did rulers typically proclaim ""clean slate"" decrees?",the first full year of their reign
Incandescent_light_bulb,Which company introduced hybrid incandescent bulbs?,Philips
Oklahoma_City,Which district is OU Medicine campus located in?,Oklahoma Health Center district
Northwestern_University,What did federal prosecutors indict four former players for in a separate betting scandal?,perjury related to betting on their own games
Construction,What are the three sectors of construction?,"buildings, infrastructure and industrial"
Montana,What is Montana's motto? ,Oro y Plata
High-definition_television,What was HDTV not permitted to do in the 90's?,use bandwidths greater than normal television
American_Idol,During which season did American Idol fall out of the top ten shows in ratings? ,13
United_States_Air_Force,Who is the Department of the Air Force managed by?,Secretary of the Air Force
Prime_number,Who included 1 as the first prime number in the mid 18th century?,"['mathematicians', 'Christian Goldbach']"
University_of_Notre_Dame,What sits on top of the Main Building at Notre Dame?,a golden statue of the Virgin Mary
On_the_Origin_of_Species,Which scientist argued that Darwinism was atheism?,Charles Hodge
Beyoncé,"Beyonce wrote which song for the movie ""Epic""?",Rise Up
Namibia,What was the pupil-teacher ratio in Namibia in 1999?,32:1
The_Sun_(United_Kingdom),Who did The Sun say was in favor of British withdrawal from the European Union?,Queen Elizabeth II
Economic_inequality,Who concluded that the rising income inequality gap was not getting better?,"[""economists with the Standard & Poor's rating agency"", 'Standard & Poor']"
Paris,What percentage of homelessness in France does Paris house?,43
French_and_Indian_War,What battle outside Quebec City did British lose in 1760?,"['Sainte-Foy', 'Battle of Sainte-Foy']"
Memory,Why do some countries display numbers in chunks of two to four numbers?,because we are able to chunk the information into meaningful groups of numbers
Textual_criticism,Name one author who is less frequently the subject of a variorum.,Edward Fitzgerald
Queen_Victoria,Who replaced Lord Rosenbery after only a year of government? ,Lord Salisbury
Everton_F.C.,"Where did ""Johnny Todd""--the theme song for Everton matchdays--originate?",Liverpool
Uranium,What is the OSHA uranium exposure limit for an 8-hour workday?,0.25 mg/m3
Classical_music,"Vibrato and glissando are possible on stringed, brass, woodwind and what other style instrument?",the human voice
New_Delhi,In what year was the foundation stone of New Delhi laid?,1911
American_Idol,Who was the winner of American Idols sixth season?,Jordin Sparks
Roman_Republic,What provided the Roman senate with exuberance?,successes against Catiline
Szlachta,WHich two kingdoms shared tentative personal unions?,Grand Duchy of Lithuania and the Crown Kingdom of Poland
Computer,What was the name of the first single-chip microprocessor?,Intel 4004
Roman_Republic,What was considered a problem in the Roman Republic during its last century?,civil war
Saint_Barth%C3%A9lemy,What type of activity did early settlers use to get food that didn't involve farming?,fishing
Southampton,When was ownership of the medieval water supply system given to the town of Southampton?,1420
Dog,What is the average number of pups in a litter?,about six
Virgil,Who is the protagonist of the Aeneid?,Aeneas
FA_Cup,When did the competition celebrate its centennial? ,didn't celebrate its centenary year until 1980–81
BeiDou_Navigation_Satellite_System,When did the BeiDou-2 begin construction?,January 2015
Ctenophora,Which phylum is more complex than sponges?,Ctenophores
Greeks,How many people that are of Greek ascendancy live elsewhere than Greece ?,total number of Greeks living outside Greece and Cyprus today is a contentious issue
Economic_inequality,What increases with the increase of income inequality?,entrepreneurship rates
Beyoncé,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,February 2013
North_Carolina,"Fishing, hunting, and birdwatching are what kind of activities that are provided in North Carolina?",recreational
Guam,What are the names of the two colleges in Guam?,The University of Guam (UOG) and Guam Community College
Immune_system,What are one of the key cell types of the adaptive immune system?,T cells
Anti-aircraft_warfare,Projectiles must either be guided to the target or aimed where?,at the predicted position of the target at the time the projectile reaches it
Edmund_Burke,Which continent did Jacobinism affect?,Europe
London,From what school in London would a student receive an MBA?,the London Business School
Railway_electrification_system,What was the reason some electrifications were removed after a while?,through traffic to non-electrified lines
1973_oil_crisis,"What does it mean when currencies are left to ""float?""","['(rise and fall according to market demand', 'rise and fall according to market demand', 'to ""float"" (rise and fall according to market demand)']"
Asthma,What other type of disorders are frequent in asthma sufferers?,Psychological disorders
Antibiotics,What besides ongoing metabolic activity is required in bactericidal activity?,division of bacterial cells
Computer,What are the devices called that are from an external source?,Peripheral devices
Egypt,What color was frequently used in Egyptian designs?,Egyptian blue
Tuvalu,What formations was the Royal Society studying?,coral reefs
American_Idol,What show was Pop Idols based on?,Popstars
Friedrich_Hayek,Which whom did Hayek share a Nobel prize?,Gunnar Myrdal
Neolithic,What era saw an increase in permanently settled farming towns?,the Bronze Age
Liberia,What were the HIV infection rates in 2007?,2%
Political_corruption,What is it called when government officials use their power for private gain?,Political corruption
Switzerland,In what year did the fall of the Agri Decumates territory transform today's Switzerland?,about 260 AD
"New_Haven,_Connecticut",According to the institution what leads to inaccurate analysis of the city?  ,cities of identical population
Group_(mathematics),What concepts are fundamental to number theory?,adele rings and adelic algebraic groups
Frédéric_Chopin,There are over 80 societies throughout the world that have been established because of Chopin and his music according to who?,The Fryderyk Chopin Institute of Poland
Pharmacy,In which two codes were the roles of pharmacists codified?,"['the Taihō Code (701) and re-stated in the Yōrō Code (718)', 'Taihō Code (701) and re-stated in the Yōrō Code']"
Seven_Years%27_War,How did the British support Prussia?,"shipping supplies and ₤670,000"
Houston,What is the total length of the Houston faults?,310 miles
Age_of_Enlightenment,In what country was the model constitution of 1791 in effect for only one year?,Poland
Gramophone_record,Whom found Wente-style condenser microphones helpful?,P. G. A. H. Voigt
"Raleigh,_North_Carolina",What happened in the 20th century?,Research Triangle Park
Arsenal_F.C.,By 2009 what competition has Arsenal Ladies been the only ladies team to have won?,UEFA Women's Cup
United_States_dollar,What is most common paper made of?,wood fiber
Ashkenazi_Jews,What percentage of the US population is comprised of Ashkenazi Jews?,2%
FA_Cup,Who show the 2011 final? ,The 2011 final was also shown live on Sky 3D in addition to ESPN
Memory,"When remembering your first day of school or first dance, which memory are you using?",Episodic memories
Szlachta,WHat was the name of the distinct element from a nnon-Slavic warrior class?,Lechici/Lekhi (Lechitów):
Dwight_D._Eisenhower,In what city were the appreciation medals minted?,Philadelphia
Old_English,During what century did Scandinavians begin to settle in England?,9th
"Atlantic_City,_New_Jersey",What percentage of the population was under the age of 18?,24.6%
Southampton,What's the name of the landmark on Commercial Road where remains of the friars' water system can be seen?,Conduit House
Time,In what ways can a sequence of events be presented?,"in text, tables, charts, or timelines"
Professional_wrestling,What do special referees have the ability to do?,"They also have the power to eject from ringside any of the heel wrestler's entourage/stable, who may otherwise interfere with the match."
"Tucson,_Arizona",Who bought The sanitarium in 1928?,Harvey Adkins
Switzerland,"Where did the Alemanni settle in the 8th century, forming Alemannia?",valleys of the Alps
Queen_Victoria,Who did Victorias eldest daughter marry?,Prince Frederick William of Prussia
Endangered_Species_Act,What was the estimated population of the whooping crane in 1941?,16 birds
University_of_Notre_Dame,Who was the president of Notre Dame in 1879?,Rev. William Corby
Space_Race,"The Soviet, N1 Rocket exploded and was destroyed on what date?","July 3, 1969"
Imperialism,The amount of land a country controls is its greatest what?,distinction
Elizabeth_II,Where were the royal princesses educated?,at home
2008_Summer_Olympics_torch_relay,Who hosted the 1998 Winter Olympics?,Nagano
Arnold_Schwarzenegger,"What group awarded Schwarzenegger the title of one of the 11 ""worst governors"" in a 2010 report?",Citizens for Responsibility and Ethics in Washington
Tajikistan,What did they go to war against Bolshevick?,to maintain independence
Cyprus,What type of climate does Cyprus have?,one of the warmest climates in the Mediterranean
Antibiotics,When was tyrothricin created?,1939
Miami,What airport is the largest international port of entry for overseas air travelers in the United States?,John F. Kennedy International Airport
United_States_dollar,"Outside of Mexico, where else was the Spanish dollar minted?",Peru
Bird,What type of birds lay eggs in the nests of conspecifics to increase their reproductive output?,non-obligate brood parasites
Hellenistic_period,What is a common Attic-based dialect?,Koine Greek
Armenia,Who vanquished Bagratid Armenia?,the Byzantine Empire
The_Sun_(United_Kingdom),In what textbook did David Randall write his opinion?,The Universal Journalist
Near_East,What region has no mention?,the Balkans
Arsenal_F.C.,What value did Forbes place on Arsenal in 2015?,$1.3 billion
Alsace,What was the population of Alsace in 1846?,"1,067,000"
The_Blitz,How was it determined that homes of industrial workers were targeted?,Captured German air crews
Elizabeth_II,Where did Elizabeth tour as a celebration of her jubilee?,United Kingdom
Germans,in What conflict of the German war did the Prussians successfully create the North German Confederation?,(Battle of Königgrätz
USB," For USB 3.0, typical write speed is what?",70–90 MB/s
American_Idol,Which two new judges joined Randy Jackson on the judges' panel?,Jennifer Lopez and Steven Tyler
Endangered_Species_Act,What prompts the need for formal consultation?,if the harm is believed to be likely
Great_power,What are middle powers?,"those nations which exercise a degree of global influence, but are insufficient to be decisive on international affairs"
Qing_dynasty,What did the Qing get from the Treaty of Kyakhta?,Mongolia
Gamal_Abdel_Nasser,How did the Egyptian people react to Nasser after the conference?,welcomed by large crowds
Glacier,In what year were twice as many glacial earthquakes seen than in any other year in Greenland?,2005
Cyprus,What policy could not be abandoned in 1964?,enosis
"St._John%27s,_Newfoundland_and_Labrador",How many seats does the St. John's Arts and Culture theatre have?,1000
Culture,"Samuel changed something that was in the old meaning of the metaphor, what was it?",no longer assuming that philosophy was man's natural perfection
Royal_assent,"Since 1993, which body has had power to enact measures?",Sodor and Man Diocesan Synod
London,"What was London's original name, as founded by the Romans?",Londinium
Tuvalu,What does the trade agreement encompass?,Economic Partnership Agreement
Antenna_(radio),What part of the radio signal creates voltage?,electrical component
Southern_California,Which organizations most commonly divide and promote the state?,"['AAA Auto Clubs', 'regional tourism groups']"
Estonia,What year did Estonia win the Eurovision Song Contest?,2001
Buddhism,When did a number of modern movement in Buddhism emerge?,second half of the 20th Century
Cyprus,How long is the term for an elected member of the House of Representatives?,five-year term
Armenia,Who provided the Armenians with supplies?,Moscow
Spectre_(2015_film),What other Bond film was promoted on social media?,Skyfall
BeiDou_Navigation_Satellite_System,"At the time when BeiDou-2 system began offering services, what was the positioning data the system was able to provide?",between longitude 55°E to 180°E and from latitude 55°S to 55°N
Bacteria,What shape does usually cocci type of bacteria can be?,spherical
Hunter-gatherer,Where did hunter-gatherer peoples live?,sparsely wooded areas
Pub,What is the present name of the former Crown and Anchor?,The Crown Tavern
Vacuum,"If all matter is removed from a vacuum, would it be empty space?","it would still not be ""empty"""
Communication,What field of communication has been investigated more thoroughly?,vibrational communication
American_Idol,How much did advertisers spend for a 30 second ad spot during American Idol in its seventh season? ,"$737,000"
Korean_War,Who was tasked with reorganization and deploying of the US military?,General Omar Bradley
Group_(mathematics),What university class year belonged to the group of theorists?,1960–61
Elizabeth_II,What did Elizabeth do after Heath adviser her?,fly back to Britain
Republic_of_the_Congo,What is the average temperature range in the Congo during the night time?,16 °C (61 °F) and 21 °C (70 °F)
Washington_University_in_St._Louis,What percent of applicants were admitted to Olin Business School in 2007? ,14%
Brigham_Young_University,What is the name of BYU's foreign language living experience?,Foreign Language Student Residence
Post-punk,How did post-punk take on rock and roll?,conceptual assault
Law_of_the_United_States,What might a suspect use to challenge their detention?,writ of habeas corpus
Chihuahua_(state),The Plan de Guadalupe refused to recognize who as the president?,Huerta
Pub,What is an example of a memorable name for a pub chain?,Slug and Lettuce
Classical_music,Tensions about what increased during the Romantic era?,key signatures
Gregorian_calendar,The Gregorian calendar is an improvement over what other calendar?,Julian
Normans,What year did the storm hit Richard's fleet?,1191
Gene,What are sets of three nucleotides known as?,codons
United_States_Air_Force,When did Congress authorize the creation of two new senior officer grades?,1958
Arena_Football_League,Who first reported the closure of the New Orleans VooDoo?,ESPN
Alps,What name has been used as a name for a number of mountainous areas across Europe? ,Albania
General_Electric,During which decade did GE start manufacuring computers?,1950s
Translation,What are the syntax characteristics of a text's source language adjusted to for a target language?,syntactic requirements
Race_(human_categorization),What does law enforcement feel appearance characteristics of individuals help them do to those individuals?,apprehend
Premier_League,When will the BBC's weekend highlights package run out?,2016
Valencia,Who was Spain's 18th Prime Minister?,Espartero
Madonna_(entertainer),What is Madonna's real name?,Madonna Louise Ciccone
Myanmar,Has the travel industry considered making changes to fight plans for Myanmar ?,"5 international airlines and increasing numbers of airlines have began launching direct flights from Japan, Qatar, Taiwan, South Korea, Germany and Singapore."
New_York_City,In what city are the New Jersey Devils located?,"Newark, New Jersey"
Canadian_Armed_Forces,What headdress does the Canadian Army wear?,CG634 helmet
Alps,What gives way to the growth of plant species with secondary metabolites important for medicinal purposes?,extreme and stressful climatic conditions
John_Kerry,Why did Rice withdraw?,a politicized confirmation process following criticism of her response to the 2012 Benghazi attack
Predation,What term is given to an organism that is being hunted?,prey
Modern_history,What was the Victorian era of the United Kingdom? ,the period of Queen Victoria's reign
Richard_Feynman,What was the Water Boiler that Feyman worked on?,nuclear reactor
Phonology,What kind of linguistics describes how factors of languages change in history?,historical
Bird,When did enantiornithes become extinct?,end of the Mesozoic era
Hunting,"What do Steller's sea cow, the bluebuck, and the Javan tigers all have in common?",extinction
The_Sun_(United_Kingdom),How did Dudman describe The Sun's Hillsborough coverage?,"""the worst mistake in our history"""
Napoleon,What do those who think Napoleon was poisoned cite as a symptom that would suggest this?,his thirst
Frédéric_Chopin,What is the name of the author Chopin met at a gathering put on by Marie d'Agoult?,George Sand
Ministry_of_Defence_(United_Kingdom),Which part of the Britsh government were the two publications listed concerning?,British Armed Forces
Thuringia,Which tributary is located on the southern border? ,the Main (a tributary of the Rhine)
Northwestern_University,Which train station is close to the northern end of campus?,Noyes
Treaty,For what purpose might an international tribunal review the preparatory work from the negotiation and drafting of a treaty?,To establish the meaning in context
Spectre_(2015_film),Which celebration was featured in the Mexico City part of the production?,Day of the Dead
Planck_constant,What does a black object do to any of the light that hits it?,it absorbs all the light
Pacific_War,How was the name of the war chosen by Japan?,by a cabinet decision
University_of_Chicago,The academic body of the university is made up of how many divisions of graduate?,four
Huguenot,When did Henry issue the Edict of Nantes?,1598
Sexual_orientation,Did men have any arousal from non human videos containing sex?,"x. Men did not show any sexual arousal to non-human visual stimuli,"
Sexual_orientation,What else does Savin-Williams suggest?,researchers should forsake the general notion of sexual orientation altogether
Dissolution_of_the_Soviet_Union,When were opposition parties first allowed in the Soviet Union?,1990
2008_Summer_Olympics_torch_relay,How many supporters of Tibet were expected to attend the torch relay?,Up to 600
United_States_Air_Force,What is one of the areas where the US Air Force might operate its missions? ,Continental United States
Oklahoma,Which state is north of Oklahoma?,Kansas
Szlachta,WHat was the privileges of jedlnia based mostly off of?,Brześć Kujawski privilege
Egypt,What is the oldest term for Egypt?,Akkadian
Arena_Football_League,On what date did the AFL take control of one of its teams?,"January 6, 2016"
Freemasonry,Candidates for Freemasonry must do what before being initiated? ,will have met most active members of the Lodge they are joining
Oklahoma_City,Which private university is located near the Edmond border?,Oklahoma Christian University
Hydrogen,How is H2 used in electrical generators at power stations?,as the rotor coolant
Ottoman_Empire,The person with this what title was believed to be the embodiment of the Ottoman government?,"pâdişâh or ""lord of kings"""
Copyright_infringement,What means the same as robbery or illegal violence at sea?,piracy
Yuan_dynasty,Who governed the Central Region in the Yuan?,"['the Central Secretariat', 'Central Secretariat']"
Hellenistic_period,Hellenism or Philhellenism reached the frontiers of what kingdom?,Hellenistic
Bacteria,What is a large domain of prokaryotic microorganisms?,Bacteria
Eritrea,What did Eritrea do when it was accused of planting bombs at the African Union summit?,denied the claims
Age_of_Enlightenment,"Who, along with Adam Ferguson, criticized the idea of social contract theorists?",David Hume
Flowering_plant,What is the appearance of a large amount of angiosperms in the fossil record known as?,"great angiosperm radiation,"
Muammar_Gaddafi,In what month and year did Gaddafi protest against Syria leaving the United Arab Republic?,October 1961
Great_Plains,what type of irrigation is used in the great plains?,Center pivot irrigation
Steven_Spielberg,What was Spielberg's future wife's career?,actress
Vacuum,An infinite sea of particles with negative energy  was a model propesed by whom?,Paul Dirac
IBM,SPSS Inc. was acquired in what year?,2009
Switzerland,"According to the census of 2000, what percentage of Swiss are pentecostal?",0.28%
University,Resisting what caused many scientists to court private benefactors?,changes in science
Portugal,How does Portugal compete with other areas for tourists?,focus upon its niche attractions
Queen_Victoria,Why did Victoria visit Ireland in 1861?,acknowledge the contribution of Irish regiments to the South African war
Steam_engine,What award was given to Corliss?,"['the Rumford medal', 'Rumford medal']"
Rhine,What is the largest suspension bridge in Germany?,"['Emmerich Rhine Bridge,', 'Emmerich Rhine Bridge']"
Christian,What does Masīḥī mean?,followers of the Messiah
Eritrea,How many rounds is coffee served in during a coffee ceremony?,three
Queen_Victoria,Where did Victoria visit to become more in the public view?,Royal Horticultural Society at Kensington
Melbourne,Which station caters to sports fans and enthusiasts?,SEN 1116
Han_dynasty,What commandery was the creator of the waterwheel-powered reciprocator from?,Nanyang
Alfred_North_Whitehead,What did Lie algebras and hyperbolic quaternions demonstrate a need for?,the need to expand algebraic structures beyond the associatively multiplicative class
Immune_system,What is a protein that is closely intertwined with circadian rhythms?,NFIL3
Uranium,What does a uranium(VI) cation form when it binds to two terminal oxides and three or more carbonates?,anionic complexes
Gramophone_record,"Who released 7"" microgrooved records in the 1950s?",Bell Records
Nanjing,When was Nanjing conquered by the Communist People's Liberation Army (PLA)?,"April 23, 1949"
Tennessee,Which 2000 presidential candidate was a former US Senator from Tennessee?,Al Gore
Valencia,Who suppressed agermanats' uprising?,Germaine of Foix
Political_corruption,Which index studies the correlation of corruption and military in a country?,Government Defence Anti-corruption Index
Dell,What hedge fund group was pressuring EMC into restructuring?,Elliott Management
Zinc,What is zinc coated with to influence the look of pennies?,thin layer of copper
Race_(human_categorization),How were older notions of race used?,to explain differences in human behaviour or social status
Rajasthan,What is the length in miles of the Aravalli Range?,530 mi
Gymnastics,When was the first World Gymnaestrada held?,1939
Kanye_West,What was the goal of Kanye's new creative company DONDA?,to make products and experiences that people want and can afford
Police,How did Peel standardize police?,as an official paid profession
Imperial_College_London,Who did the constituent college belong to?,University of London
The_Blitz,How many people per week were losing housing?,"40,000 people"
Software_testing,What is Operational Acceptance limited to while testing?,limited to those tests which are required to verify the non-functional aspects of the system
War_on_Terror,Which newspaper revealed the Terrorist Finance Tracking Program?,The New York Times
Gramophone_record,By whom was the phonautograms patented?,Léon Scott
Portugal,What does REN do?,"uses sophisticated modeling to predict weather, especially wind patterns, and computer programs to calculate energy from the various renewable-energy plants"
Turner_Classic_Movies,What were TCM Extras previously known as?,One Reel Wonders
Nanjing,When did the Nanjing Yangtze River Bridge first open for traffic?,1968
Military_history_of_the_United_States,How did the United States initially deal with this problem?,The U.S. paid protection money until 1801
Alsace,Which two countries sought to crush the nascent republic?,Austria and Prussia
Hunting,How can hunting actually increase the population of predators?,by removing territorial bounds that would otherwise be established
Neoclassical_architecture,What was the first Greek building in England?,garden temple at Hagley Hall (1758–59)
Education,Whos educatgion approach was introduced in Germany in the 19th century and is used in most Kindergartens?,Friedrich Fröbel's
Napoleon,What was the first noteworthy confrontation between Napoleon and the Archduke Charles?,the Battle of Tarvis
Thuringia,What was the increase in non-German population between 2011 and 2013?,24%
Iranian_languages,When did the change from Old Iranian to Middle Iranian occur?,400 BCE
Hunting,What did British officers maintain whole corps of?,shikaris
Treaty,"In addition to passing an expiration date, what might cause a treaty to self-terminate?",certain defined conditions are met
Madrasa,What other religion was considered to share parallels in teaching styles with the Muslim faith?,Christian
"New_Haven,_Connecticut",What percentage of New Haven's economy is based in services grounded in health care and education?,56%
PlayStation_3,What words would you see in the United States or Canada on a PS3 game that would signify its lower price?,Greatest Hits
Marshall_Islands,What status did the Marshall Islands have in Germany?,Imperial German Protectorate
Windows_8,What was the benefit of Windows 8.1 with Bing?,cheaper Windows 8 licenses to OEMs in exchange for setting Internet Explorer's default search engine to Bing
Oxygen,How much is the sieve method of gas production used?,"['major method', 'increasingly']"
United_Nations_Population_Fund,What policies did a State Department official accuse UNFPA of helping China carry out?,population control policies
Greece,Greece became a full ESA member when?,16 March 2005
Indigenous_peoples_of_the_Americas,Where did the potato originate?,area of southern Peru
FC_Barcelona,During which football season did Barcelona win its second treble?,2014–15
Southampton,What's the name of the aviation museum in Southampton?,Solent Sky
Endangered_Species_Act,What law passed in 1940 regarding the population of the U.S. national bird?,Bald Eagle Protection Act of 1940
Roman_Republic,When did Julius Caesar's term as consul end?,59 BC
Copper,What does the acronym EPA stand for?,Environmental Protection Agency
Empiricism,When did William James die?,1910
Steven_Spielberg,What department did Spielberg have an unpaid internship with?,editing
Anthropology,What type of anthropology is used to analyse and find solutions to real world problems?,Applied
European_Union_law,"In which case was it held that the provisions of the treaties are directly effective if they are clear, unconditional, and don't require further action by EU or national authorities?",Van Gend en Loos v Nederlandse Administratie der Belastingen
FA_Cup,What was Webly stadium called at that time? ,Empire Stadium
Nutrition,Which technology is primarily responsible for helping keep food fresh?,Cooling
Tennessee,What average daily amount did a tourist spend in Tennessee in 2013?,$118
Sino-Tibetan_relations_during_the_Ming_dynasty,Who's presence increased in Tibet?,the Mongols
Queen_Victoria,What position did Victoria appoint Lord Rosebery?,prime minister
Germans,Through what act would Roman and German customs become intertwine? ,Germanic and Roman peoples intermarried
Portugal,What does the Rapid Reaction Brigade consist of?,"paratroopers, commandos and rangers"
John_von_Neumann,When did von Neumann's interest in economics begin?,When lecturing at Berlin in 1928 and 1929
Unicode,"Michael Everson, Rick McGowan, and Ken Whistler make up what group?",Unicode Roadmap Committee
Egypt,Why is Egypt considered a cradle of civilisation?,"earliest developments of writing, agriculture, urbanisation, organised religion and central government"
Sexual_orientation,What did the Pan American Health Organization reccomend for those who used treatment to stop homosexuality?,"that such malpractices be denounced and subject to sanctions and penalties under national legislation,"
Myanmar,What races are considered to be the of the the national races in Burma ? ,"national races such as Kachin, Kayah (Karenni), Karen, Chin, Burman, Mon, Rakhine, Shan, Kaman, or Zerbadee."
The_Blitz,What did these flashes simulate?,German C-250 and C-500 Flammbomben
Buddhism,Buddhism is based on the teaching of who?,Gautama Buddha
Aspirated_consonant,"If the letter s is a different place in the word, it is typical unaspirated unless the word is what?",compound words
Separation_of_church_and_state_in_the_United_States,What does Wood believe the U.S. operates on?,a sort of civic religion
Digimon,When did the first digimon series begin airing in japan?,"March 7, 1999 in Japan"
Southern_California,How many teams did Los Angeles used to have?,two
Child_labour,How many children worked?,virtually all
University_of_Notre_Dame,Which president at Notre Dame created the College of Science?,Father Patrick Dillon
Tibet,When did Johann Grueber cross Tibet on the way to Nepal?,1661
Arena_Football_League,What was Jim Foster viewing when he came up with the idea for arena football?,an indoor soccer match
Pope_Paul_VI,What did the Cardinal Augustin Bea's Secretariat promote?,Christian Unity
Professional_wrestling,What are the usual reasons for an automatic disqualification? ,"low blows, weapon usage, interference, or assaulting the referee"
Southampton,What year did Edward III show up in Southampton and tell them to build walls?,1339
Guam,What is the mean high temperature in Guam?,86 °F (30 °C)
Frédéric_Chopin,What was the likely cause of death for Chopin?,tuberculosis
Utrecht,What is a barrow bikes use ,"There are also barrow bikes, for carrying shopping or small children"
Ashkenazi_Jews,Is the percentage of admixture in the modern Ashkenazi genome higher or lower than previously thought?,admixture is considerably higher
Computational_complexity_theory,Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?,"['an increase in the input size', 'input size']"
Post-punk,Who said that the post-punk movement rivaled the Sixties in the shear amount of great music produced?,Simon Reynolds
Nanjing,What was the name of the examination centre?,Jiangnan Examination Hall
Slavs,What notable political union of the 20th century covered most South Slavs?,Yugoslavia
Child_labour,When did the Geneva Declaration of the Right of Children Act pass?,1924
Victoria_(Australia),When was gold found near Ballarat?,"['in 1851', '1851']"
